car_ID,CarManufacturer,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,price (USD)
1,alfa-romero,giulia,1,1,1,1,3,1,1,3,130,6,111,13495
2,alfa-romero,stelvio,1,1,1,1,3,1,1,3,130,6,111,16500
3,alfa-romero,Quadrifoglio,1,1,1,2,3,1,6,5,152,6,154,16500
4,audi,100 ls,1,1,2,3,2,1,4,3,109,6,102,13950
5,audi,100ls,1,1,2,3,1,1,4,4,136,6,115,17450
6,audi,fox,1,1,1,3,2,1,4,4,136,6,110,15250
7,audi,100ls,1,1,2,3,2,1,4,4,136,6,110,17710
8,audi,5000,1,1,2,4,2,1,4,4,136,6,110,18920
9,audi,4000,1,2,2,3,2,1,4,4,131,6,140,23875
10,audi,5000s (diesel),1,2,1,2,1,1,4,4,131,6,160,17859.17
11,bmw,320i,1,1,1,3,3,1,4,3,108,6,101,16430
12,bmw,320i,1,1,2,3,3,1,4,3,108,6,101,16925
13,bmw,x1,1,1,1,3,3,1,4,5,164,6,121,20970
14,bmw,x3,1,1,2,3,3,1,4,5,164,6,121,21105
15,bmw,z4,1,1,2,3,3,1,4,5,164,6,121,24565
16,bmw,x4,1,1,2,3,3,1,4,5,209,6,182,30760
17,bmw,x5,1,1,1,3,3,1,4,5,209,6,182,41315
18,bmw,x3,1,1,2,3,3,1,4,5,209,6,182,36880
19,chevrolet,impala,1,1,1,2,2,1,3,2,61,2,48,5151
20,chevrolet,monte carlo,1,1,1,2,2,1,4,3,90,2,70,6295
21,chevrolet,vega 2300,1,1,2,3,2,1,4,3,90,2,70,6575
22,dodge,rampage,1,1,1,2,2,1,4,3,90,2,68,5572
23,dodge,challenger se,1,1,1,2,2,1,4,3,90,2,68,6377
24,dodge,d200,1,2,1,2,2,1,4,3,98,6,102,7957
25,dodge,monaco (sw),1,1,2,2,2,1,4,3,90,2,68,6229
26,dodge,colt hardtop,1,1,2,3,2,1,4,3,90,2,68,6692
27,dodge,colt (sw),1,1,2,3,2,1,4,3,90,2,68,7609
28,dodge,coronet custom,1,2,1,3,2,1,4,3,98,6,102,8558
29,dodge,dart custom,1,1,2,4,2,1,4,3,122,2,88,8921
30,dodge,coronet custom (sw),1,2,1,2,2,1,4,3,156,5,145,12964
31,honda,civic,1,1,1,2,2,1,4,3,92,1,58,6479
32,honda,civic cvcc,1,1,1,2,2,1,4,3,92,1,76,6855
33,honda,civic,1,1,1,2,2,1,4,3,79,1,60,5399
34,honda,accord cvcc,1,1,1,2,2,1,4,3,92,1,76,6529
35,honda,civic cvcc,1,1,1,2,2,1,4,3,92,1,76,7129
36,honda,accord lx,1,1,2,3,2,1,4,3,92,1,76,7295
37,honda,civic 1500 gl,1,1,2,4,2,1,4,3,92,1,76,7295
38,honda,accord,1,1,1,2,2,1,4,3,110,1,86,7895
39,honda,civic 1300,1,1,1,2,2,1,4,3,110,1,86,9095
40,honda,prelude,1,1,2,3,2,1,4,3,110,1,86,8845
41,honda,accord,1,1,2,3,2,1,4,3,110,1,86,10295
42,honda,civic,1,1,2,3,2,1,4,3,110,6,101,12945
43,honda,civic (auto),1,1,1,3,2,1,4,3,110,2,100,10345
44,isuzu,MU-X,1,1,2,3,3,1,4,3,111,2,78,6785
45,isuzu,D-Max,1,1,1,3,2,1,4,3,90,2,70,8916.5
